Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
Apple iPad (2022),,,4 GB|64 GB,"10.9 inch, 359.2 cm 2 (~80.5% screen-to-body ratio) Display","12 MP, f/1.8, (wide), PDAF Rear Camera",Li-Po 7606 mAh (28.6 Wh) Battery,Apple A14 Bionic (5 nm) Processor,1 Year,Not Available,,,,
Apple iPad (2025),,,6 GB|128 GB,"11.0 inch, 357.6 cm 2 (~80.1% screen-to-body ratio) Display","12 MP, f/1.8, (wide), PDAF Rear Camera",,Apple A16 Bionic (4 nm) Processor,1 Year,Not Available,,,,
Apple iPad Air (2022),,,8 GB|64 GB,"10.9 inch, 359.2 cm 2 (~81.3% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF Rear Camera",Li-Ion 7600 mAh (28.6 Wh) Battery,Apple M1 Processor,1 Year,Not Available,,,,
Apple iPad Air 11 (2024),,,8 GB|128 GB,"11.0 inch, 357.6 cm 2 (~80.9% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF Rear Camera",Li-Po 7606 mAh (28.93 Wh) Battery,Apple M2 Processor,1 Year,Not Available,,,,
Apple iPad Air 11 (2025),,,8 GB|128 GB,"11.0 inch, 357.6 cm 2 (~80.9% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF Rear Camera",Li-Po 7606 mAh (28.93 Wh) Battery,Apple M3 Processor,1 Year,Not Available,,,,
Apple iPad Air 11 (2026),,,12 GB|128 GB,"11.0 inch, 357.6 cm 2 (~80.9% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF Rear Camera",Li-Po 7606 mAh (28.93 Wh) Battery,Apple M4 Processor,1 Year,Not Available,,,,
Apple iPad Air 13 (2024),,,8 GB|128 GB,"13.0 inch, 519.3 cm 2 (~86.1% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF Rear Camera",Li-Po 9705 mAh (36.59 Wh) Battery,Apple M2 Processor,1 Year,Not Available,,,,
Apple iPad Air 13 (2025),,,8 GB|128 GB,"13.0 inch, 519.3 cm 2 (~86.1% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF Rear Camera",Li-Po 9705 mAh (36.59 Wh) Battery,Apple M3 Processor,1 Year,Not Available,,,,
Apple iPad Air 13 (2026),,,12 GB|128 GB,"13.0 inch, 519.3 cm 2 (~86.1% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF Rear Camera",Li-Po 9705 mAh (36.59 Wh) Battery,Apple M4 Processor,1 Year,Not Available,,,,
Apple iPad Pro 11 (2022),,,8 GB|128 GB,"11.0 inch, 366.5 cm 2 (~82.9% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF 10 MP, f/2.4, 125˚ (ultrawide) TOF 3D LiDAR scanner (depth) Rear Camera",Li-Po 7538 mAh (28.65 Wh) Battery,Apple M2 Processor,1 Year,Not Available,,,,
Apple iPad Pro 11 (2024),,,8 GB|256 GB,"11.0 inch, 373.1 cm 2 (~84.2% screen-to-body ratio) Display","12 MP, f/1.8, (wide), dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Po 8160 mAh Battery,Apple M4 Processor,1 Year,Not Available,,,,
Apple iPad Pro 11 (2025),,,12 GB|256 GB,"11.0 inch, 364.8 cm 2 (~82.3% screen-to-body ratio) Display","12 MP, f/1.8, (wide), dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Po 8160 mAh Battery,Apple M5 Processor,1 Year,Not Available,,,,
Apple iPad Pro 12.9 (2022),,,8 GB|128 GB,"12.9 inch, 515.3 cm 2 (~85.4% screen-to-body ratio) Display","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF 10 MP, f/2.4, 125˚ (ultrawide) TOF 3D LiDAR scanner (depth) Rear Camera",Li-Po 10758 mAh (40.88 Wh) Battery,Apple M2 Processor,1 Year,Not Available,,,,
Apple iPad Pro 13 (2024),,,8 GB|256 GB,"13.0 inch, 527.3 cm 2 (~86.9% screen-to-body ratio) Display","12 MP, f/1.8, (wide), dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Po 10290 mAh Battery,Apple M4 Processor,1 Year,Not Available,,,,
Apple iPad Pro 13 (2025),,,12 GB|256 GB,"13.0 inch, 523.4 cm 2 (~86.2% screen-to-body ratio) Display","12 MP, f/1.8, (wide), dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Po 10290 mAh Battery,Apple M5 Processor,1 Year,Not Available,,,,
Apple iPad mini (2024),,,8 GB|128 GB,"8.3 inch, 203.9 cm 2 (~77.4% screen-to-body ratio) Display","12 MP, f/1.8, (wide), AF Rear Camera",Li-Ion 5078 mAh (19.3 Wh) Battery,Apple A17 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 13 Pro,,,6 GB|128 GB,"6.1 inch, 90.2 cm 2 (~86.0% screen-to-body ratio) Display","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 77mm (telephoto), PDAF, 1/3.4"", 1.0µm, OIS, 3x optical zoom 12 MP, f/1.8, 13mm, 120˚ (ultrawide), 1/3.4"", 1.0µm, PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 3095 mAh (12.11 Wh) Battery,Apple A15 Bionic (5 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 13 Pro Max,,,6 GB|128 GB,"6.7 inch, 109.8 cm 2 (~87.4% screen-to-body ratio) Display","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 77mm (telephoto), PDAF, 1/3.4"", 1.0µm, OIS, 3x optical zoom 12 MP, f/1.8, 13mm, 120˚ (ultrawide), 1/3.4"", 1.0µm, PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 4352 mAh (16.75 Wh) Battery,Apple A15 Bionic (5 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 14,,,6 GB|128 GB,"6.1 inch, 90.2 cm 2 (~86.0% screen-to-body ratio) Display","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.4, 13mm, 120˚ (ultrawide) Rear Camera",Li-Ion 3279 mAh (12.68 Wh) Battery,Apple A15 Bionic (5 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 14 Plus,,,6 GB|128 GB,"6.7 inch, 109.8 cm 2 (~87.4% screen-to-body ratio) Display","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.4, 13mm, 120˚ (ultrawide) Rear Camera",Li-Ion 4323 mAh (16.68 Wh) Battery,Apple A15 Bionic (5 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 14 Pro,,,6 GB|128 GB,"6.1 inch, 91.7 cm 2 (~87.0% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 77mm (telephoto), 1/3.5"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 3200 mAh (12.38 Wh) Battery,Apple A16 Bionic (4 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 14 Pro Max,,,6 GB|128 GB,"6.7 inch, 110.2 cm 2 (~88.3% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 77mm (telephoto), 1/3.5"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 4323 mAh (16.68 Wh) Battery,Apple A16 Bionic (4 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 15,,,6 GB|128 GB,"6.1 inch, 91.3 cm 2 (~86.4% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.4, 13mm, 120˚ (ultrawide), 0.7µm Rear Camera",Li-Ion 3349 mAh Battery,Apple A16 Bionic (4 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 15 Plus,,,6 GB|128 GB,"6.7 inch, 110.2 cm 2 (~88.0% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.4, 13mm, 120˚ (ultrawide), 0.7µm Rear Camera",Li-Ion 4383 mAh Battery,Apple A16 Bionic (4 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 15 Pro,,,8 GB|128 GB,"6.1 inch, 91.3 cm 2 (~88.2% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 77mm (telephoto), 1/3.5"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 3274 mAh Battery,Apple A17 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 15 Pro Max,,,8 GB|256 GB,"6.7 inch, 110.2 cm 2 (~89.8% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 120mm (periscope telephoto), 1/3.06"", 1.12µm, dual pixel PDAF, 3D sensor‑shift OIS, 5x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 4441 mAh Battery,Apple A17 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 16,,,8 GB|128 GB,"6.1 inch, 91.7 cm 2 (~86.8% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 0.7µm, dual pixel PDAF Rear Camera",Li-Ion 3561 mAh Battery,Apple A18 (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 16 Plus,,,8 GB|128 GB,"6.7 inch, 110.2 cm 2 (~88.0% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 0.7µm, dual pixel PDAF Rear Camera",Li-Ion 4674 mAh Battery,Apple A18 (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 16 Pro,,,8 GB|128 GB,"6.3 inch, 96.4 cm 2 (~90.1% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 120mm (periscope telephoto), 1/3.06"", 1.12µm, dual pixel PDAF, 3D sensor‑shift OIS, 5x optical zoom 48 MP, f/2.2, 13mm (ultrawide), 1/2.55"", 0.7µm, PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 3582 mAh Battery,Apple A18 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 16 Pro Max,,,8 GB|256 GB,"6.9 inch, 115.6 cm 2 (~91.4% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 120mm (periscope telephoto), 1/3.06"", 1.12µm, dual pixel PDAF, 3D sensor‑shift OIS, 5x optical zoom 48 MP, f/2.2, 13mm (ultrawide), 1/2.55"", 0.7µm, PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Li-Ion 4685 mAh Battery,Apple A18 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 16e,,,8 GB|128 GB,"6.1 inch, 90.2 cm 2 (~86.0% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/2.55"", 0.7µm, PDAF, OIS Rear Camera",Li-Ion 4005 mAh Battery,Apple A18 (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 17,,,8 GB|256 GB,"6.3 inch, 96.4 cm 2 (~90.1% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS 48 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 0.7µm, PDAF Rear Camera",Li-Ion 3692 mAh Battery,Apple A19 (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 17 Pro,,,12 GB|256 GB,"6.3 inch, 96.4 cm 2 (~89.4% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 48 MP, f/2.8, 100mm (periscope telephoto), 1/2.55"", 0.7µm, PDAF, 3D sensor‑shift OIS, 4x optical zoom 48 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 0.7µm, PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Market-dependent versions: · Li-Ion 3998 mAh - Nano SIM model · Li-Ion 4252 mAh - eSIM only model Battery,Apple A19 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 17 Pro Max,,,12 GB|256 GB,"6.9 inch, 115.6 cm 2 (~90.7% screen-to-body ratio) Display","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 48 MP, f/2.8, 100mm (periscope telephoto), 1/2.55"", 0.7µm, PDAF, 3D sensor‑shift OIS, 4x optical zoom 48 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 0.7µm, PDAF TOF 3D LiDAR scanner (depth) Rear Camera",Market-dependent versions: · Li-Ion 4823 mAh - Nano SIM model · Li-Ion 5088 mAh - eSIM only model Battery,Apple A19 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone 17e,,,8 GB|256 GB,"6.1 inch, 90.2 cm 2 (~86.0% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/2.55"", 0.7µm, PDAF, OIS Rear Camera",Li-Ion 4005 mAh Battery,Apple A19 (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone Air,,,12 GB|256 GB,"6.5 inch, 104.9 cm 2 (~89.9% screen-to-body ratio) Display","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS Rear Camera",Li-Ion 3149 mAh Battery,Apple A19 Pro (3 nm) Processor,1 Year,Not Available,,,,
Apple iPhone SE (2022),,,4 GB|64 GB,"4.7 inch, 60.9 cm 2 (~65.4% screen-to-body ratio) Display","12 MP, f/1.8 (wide), PDAF, OIS Rear Camera",Li-Ion 2018 mAh (6.96 Wh) Battery,Apple A15 Bionic (5 nm) Processor,1 Year,Not Available,,,,
Asus Pad (T3201),,,8 GB|128 GB,"12.2 inch, 440.7 cm 2 (~89.1% screen-to-body ratio) Display","13 MP, (wide), AF Rear Camera",Li-Po 9000 mAh Battery,Mediatek Dimensity 8300 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 3,,,8 GB|128 GB,"6.59 inch, 106.6 cm 2 (~79.9% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 11mm, 125˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+) Processor,1 Year,Not Available,,,,
Asus ROG Phone 3 Strix,,,8 GB|128 GB,"6.59 inch, 106.6 cm 2 (~79.9% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 11mm, 125˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8250 Snapdragon 865 5G (7 nm+) Processor,1 Year,Not Available,,,,
Asus ROG Phone 5,,,8 GB|128 GB,"6.78 inch, 109.5 cm 2 (~82.0% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 11mm, 125˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8350 Snapdragon 888 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 5 Pro,,,16 GB|512 GB,"6.78 inch, 109.5 cm 2 (~82.0% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 11mm, 125˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8350 Snapdragon 888 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 5 Ultimate,,,18 GB|512 GB,"6.78 inch, 109.5 cm 2 (~82.0% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 11mm, 125˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8350 Snapdragon 888 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 5s,,,8 GB|128 GB,"6.78 inch, 109.5 cm 2 (~82.0% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 11mm, 125˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 5s Pro,,,18 GB|512 GB,"6.78 inch, 109.5 cm 2 (~82.0% screen-to-body ratio) Display","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 11mm, 125˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 6,,,8 GB|128 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 6 Batman Edition,,,12 GB|256 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, 13mm (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) - USA Mediatek Dimensity 9000+ (4 nm) - International Processor,1 Year,Not Available,,,,
Asus ROG Phone 6 Diablo Immortal Edition,,,16 GB|512 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, 13mm (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 6 Pro,,,18 GB|512 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 6D,,,12 GB|256 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, 13mm (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Mediatek Dimensity 9000+ (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 6D Ultimate,,,16 GB|512 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, 13mm (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Mediatek Dimensity 9000+ (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 7,,,12 GB|256 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, 13mm, 120˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 7 Ultimate,,,16 GB|512 GB,"6.78 inch, 109.5 cm 2 (~82.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF 13 MP, f/2.2, 13mm, 120˚ (ultrawide) 5 MP (macro) Rear Camera",Li-Po 6000 mAh Battery,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 8,,,12 GB|256 GB,"6.78 inch, 111.0 cm 2 (~88.2% screen-to-body ratio) Display","- International model - 50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom 13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm - SEA/China/India model - 50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm 5 MP (macro) Rear Camera",5500 mAh Battery,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 8 Pro,,,16 GB|512 GB,"6.78 inch, 111.0 cm 2 (~88.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom 13 MP, f/2.2, 13mm, 120˚ (ultrawide) Rear Camera",5500 mAh Battery,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 9,,,12 GB|256 GB,"6.78 inch, 111.0 cm 2 (~88.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 13 MP, f/2.2, 13mm, 120˚ (ultrawide) 5 MP (macro) Rear Camera",5800 mAh Battery,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 9 FE,,,16 GB|256 GB,"6.78 inch, 111.0 cm 2 (~88.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 13 MP, f/2.2, 13mm, 120˚ (ultrawide) 5 MP (macro) Rear Camera",5500 mAh Battery,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone 9 Pro,,,16 GB|512 GB,"6.78 inch, 111.0 cm 2 (~88.2% screen-to-body ratio) Display","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS 32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom 13 MP, f/2.2, 13mm, 120˚ (ultrawide) Rear Camera",5800 mAh Battery,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone II ZS660KL,,,8 GB|128 GB,"6.59 inch, 106.6 cm 2 (~80.3% screen-to-body ratio) Display","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 13 MP, f/2.4, 11mm (ultrawide) Rear Camera","Li-Po 6000 mAh, non-removable Battery",Qualcomm SM8150 Snapdragon 855+ (7 nm) Processor,1 Year,Not Available,,,,
Asus ROG Phone ZS600KL,,,8 GB|128 GB,"6.0 inch, 92.9 cm 2 (~76.8% screen-to-body ratio) Display","12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, 4-axis OIS 8 MP, 12mm (ultrawide), no AF Rear Camera","Li-Ion 4000 mAh, non-removable Battery",Qualcomm SDM845 Snapdragon 845 (10 nm) Processor,1 Year,Not Available,,,,
